date,cash_gross,cash_refund,cash_net,new_paid_users,cumulative_paid_users,paid_churn_subs,all_churn_subs,mrr_active,status_active,active_paid_subs,status_trialing,status_past_due,trial_conversion_rate_existing,paid_uv
2026-05-15,20.0,0.0,20.0,0,41,85,85,240.0,12,,0,173,,
2026-05-16,30.0,0.0,30.0,1,42,92,92,260.0,13,,0,201,,
2026-05-17,0.0,0.0,0.0,0,42,103,103,280.0,14,,0,226,,
2026-05-18,0.0,0.0,0.0,0,42,110,110,280.0,14,,0,235,,
2026-05-19,0.0,0.0,0.0,0,42,117,117,320.0,16,21,0,255,,
2026-05-20,20.0,0.0,20.0,1,43,129,129,340.0,17,22,0,419,,
2026-05-21,50.0,0.0,50.0,0,43,153,153,380.0,19,24,0,555,,
2026-05-22,70.0,0.0,70.0,3,46,167,167,380.0,19,24,0,794,,
2026-05-23,50.0,0.0,50.0,2,48,197,197,1040.0,52,24,151,1030,,
2026-05-24,160.0,20.0,140.0,2,50,240,240,1040.0,52,24,442,1030,,
2026-05-25,40.0,0.0,40.0,0,50,324,324,1060.0,53,25,675,1029,,
