date,provider,value
2026-05-15,anthropic,0.0
2026-05-15,fal-queue,40.0
2026-05-15,fal-run,480.0
2026-05-16,anthropic,0.0
2026-05-16,fal-queue,1.0
2026-05-16,fal-run,391.0
2026-05-17,anthropic,0.0
2026-05-17,fal-queue,0.0
2026-05-17,fal-run,381.0
2026-05-18,anthropic,0.0
2026-05-18,fal-queue,436.0
2026-05-18,fal-run,378.0
2026-05-19,anthropic,0.0
2026-05-19,fal-queue,52.0
2026-05-19,fal-run,251.0
2026-05-20,anthropic,0.0
2026-05-20,deepseek,75.0
2026-05-20,fal-queue,40.0
2026-05-20,fal-run,212.0
2026-05-21,anthropic,106.0
2026-05-21,deepseek,359.0
2026-05-21,fal-queue,279.0
2026-05-21,fal-run,169.0
2026-05-22,anthropic,850.0
2026-05-22,deepseek,4000.0
2026-05-22,fal-queue,227.0
2026-05-22,fal-run,135.0
2026-05-22,openrouter,0.0
2026-05-23,anthropic,0.0
2026-05-23,fal-queue,256.0
2026-05-23,fal-run,96.0
2026-05-24,anthropic,0.0
2026-05-24,fal-queue,3.0
2026-05-24,fal-run,141.0
2026-05-25,anthropic,1874.0
2026-05-25,deepseek,863.0
2026-05-25,fal-queue,960.0
2026-05-25,fal-run,115.0
2026-05-25,openai-codex,7.0
