date,dau_region_top,new_region_top,returning_region_top,dau_interface_top,new_interface_top,returning_interface_top,dau_channel_top,new_channel_top,returning_channel_top
2026-05-15,India 72 (16%); Indonesia 71 (15%); Pakistan 47 (10%),Indonesia 58 (17%); India 49 (14%); Pakistan 36 (10%),India 23 (20%); Indonesia 13 (12%); Pakistan 11 (10%),Web App 460 (100%),Web App 347 (100%),Web App 113 (100%),Direct 353 (77%); Google Ads 64 (14%); SEO / Organic Search 28 (6%),Direct 265 (76%); Google Ads 53 (15%); SEO / Organic Search 21 (6%),Direct 88 (78%); Google Ads 11 (10%); SEO / Organic Search 7 (6%)
2026-05-16,India 77 (15%); Indonesia 73 (14%); Pakistan 65 (13%),India 62 (18%); Indonesia 50 (14%); Pakistan 41 (12%),Pakistan 24 (15%); Indonesia 23 (15%); India 15 (10%),Web App 507 (100%),Web App 350 (100%),Web App 157 (100%),Direct 395 (78%); Google Ads 63 (12%); SEO / Organic Search 29 (6%),Direct 258 (74%); Google Ads 59 (17%); SEO / Organic Search 16 (5%),Direct 137 (87%); SEO / Organic Search 13 (8%); Google Ads 4 (3%)
2026-05-17,India 73 (16%); Pakistan 57 (12%); Indonesia 53 (12%),India 56 (17%); Pakistan 42 (13%); Indonesia 39 (12%),India 17 (13%); United States 17 (13%); Pakistan 15 (12%),Web App 456 (100%),Web App 327 (100%),Web App 129 (100%),Direct 359 (79%); Google Ads 69 (15%); SEO / Organic Search 22 (5%),Direct 241 (74%); Google Ads 66 (20%); SEO / Organic Search 14 (4%),Direct 118 (91%); SEO / Organic Search 8 (6%); Google Ads 3 (2%)
2026-05-18,India 66 (13%); Pakistan 59 (12%); Indonesia 56 (11%),India 53 (15%); Indonesia 39 (11%); Pakistan 38 (11%),Pakistan 21 (13%); Indonesia 17 (11%); United States 14 (9%),Web App 507 (100%),Web App 346 (100%),Web App 161 (100%),Direct 396 (78%); Google Ads 69 (14%); SEO / Organic Search 25 (5%),Direct 256 (74%); Google Ads 65 (19%); SEO / Organic Search 17 (5%),Direct 140 (87%); SEO / Organic Search 8 (5%); Referral 8 (5%)
2026-05-19,Pakistan 57 (13%); Indonesia 55 (12%); India 54 (12%),India 38 (13%); Indonesia 35 (12%); Pakistan 34 (12%),Pakistan 23 (14%); Indonesia 20 (12%); Singapore 17 (10%),Web App 450 (100%),Web App 283 (100%),Web App 167 (100%),Direct 357 (79%); Google Ads 53 (12%); SEO / Organic Search 23 (5%),Direct 220 (78%); Google Ads 45 (16%); SEO / Organic Search 12 (4%),Direct 137 (82%); SEO / Organic Search 11 (7%); Referral 10 (6%)
2026-05-20,United States 32 (12%); India 31 (12%); Indonesia 28 (11%),United States 20 (18%); Brazil 9 (8%); Indonesia 8 (7%),India 23 (16%); Indonesia 20 (14%); Pakistan 17 (12%),Web App 256 (100%),Web App 114 (100%),Web App 142 (100%),Direct 230 (90%); Google Ads 15 (6%); SEO / Organic Search 8 (3%),Direct 104 (91%); Google Ads 8 (7%); SEO / Organic Search 2 (2%),Direct 126 (89%); Google Ads 7 (5%); SEO / Organic Search 6 (4%)
2026-05-21,United States 30 (13%); India 26 (12%); Indonesia 20 (9%),United States 13 (12%); India 11 (10%); Germany 10 (9%),United States 17 (14%); India 15 (13%); Indonesia 12 (10%),Web App 224 (100%),Web App 106 (100%),Web App 118 (100%),Direct 206 (92%); Google Ads 8 (4%); SEO / Organic Search 6 (3%),Direct 99 (93%); Google Ads 5 (5%); SEO / Organic Search 2 (2%),Direct 107 (91%); Referral 4 (3%); SEO / Organic Search 4 (3%)
2026-05-22,United States 45 (16%); India 28 (10%); Pakistan 18 (7%),United States 29 (18%); India 13 (8%); Germany 13 (8%),United States 16 (15%); India 15 (14%); Pakistan 12 (11%),Web App 273 (100%),Web App 165 (100%),Web App 108 (100%),Direct 258 (95%); Google Ads 9 (3%); SEO / Organic Search 4 (1%),Direct 154 (93%); Google Ads 7 (4%); SEO / Organic Search 4 (2%),Direct 104 (96%); Referral 2 (2%); Google Ads 2 (2%)
2026-05-23,United States 63 (17%); Germany 48 (13%); Indonesia 38 (10%),United States 54 (20%); Germany 45 (17%); Indonesia 32 (12%),India 10 (11%); Pakistan 9 (9%); United States 9 (9%),Web App 365 (100%),Web App 270 (100%),Web App 95 (100%),Direct 345 (95%); SEO / Organic Search 9 (2%); Google Ads 7 (2%),Direct 256 (95%); SEO / Organic Search 6 (2%); Google Ads 5 (2%),Direct 89 (94%); SEO / Organic Search 3 (3%); Google Ads 2 (2%)
2026-05-24,United States 39 (15%); India 33 (13%); Indonesia 30 (12%),United States 28 (16%); India 28 (16%); Indonesia 22 (13%),United States 11 (12%); Germany 8 (9%); Indonesia 8 (9%),Web App 260 (100%),Web App 170 (100%),Web App 90 (100%),Direct 247 (95%); Google Ads 7 (3%); SEO / Organic Search 5 (2%),Direct 160 (94%); Google Ads 6 (4%); SEO / Organic Search 4 (2%),Direct 87 (97%); Meta Ads 1 (1%); Google Ads 1 (1%)
2026-05-25,Indonesia 37 (16%); India 25 (11%); Singapore 20 (8%),Indonesia 27 (20%); India 14 (10%); Singapore 12 (9%),India 11 (11%); Indonesia 10 (10%); United States 9 (9%),Web App 237 (100%),Web App 138 (100%),Web App 99 (100%),Direct 214 (90%); SEO / Organic Search 10 (4%); Google Ads 7 (3%),Direct 123 (89%); SEO / Organic Search 8 (6%); Google Ads 6 (4%),Direct 91 (92%); Referral 5 (5%); SEO / Organic Search 2 (2%)
