date,cohort,dimension,value,users,share
2026-05-15,dau,channel,Direct,353,0.7673913043478261
2026-05-15,dau,channel,Google Ads,64,0.1391304347826087
2026-05-15,dau,channel,SEO / Organic Search,28,0.06086956521739131
2026-05-15,dau,channel,Referral,8,0.017391304347826087
2026-05-15,dau,channel,Meta Ads,4,0.008695652173913044
2026-05-15,dau,channel,Organic Social,3,0.006521739130434782
2026-05-15,dau,interface,Web App,460,1.0
2026-05-15,dau,region,India,72,0.1565217391304348
2026-05-15,dau,region,Indonesia,71,0.15434782608695652
2026-05-15,dau,region,Pakistan,47,0.10217391304347827
2026-05-15,dau,region,United States,42,0.09130434782608696
2026-05-15,dau,region,Brazil,21,0.04565217391304348
2026-05-15,dau,region,Bangladesh,19,0.041304347826086954
2026-05-15,dau,region,Morocco,16,0.034782608695652174
2026-05-15,dau,region,Vietnam,14,0.030434782608695653
2026-05-15,dau,region,United Kingdom,14,0.030434782608695653
2026-05-15,dau,region,Singapore,12,0.02608695652173913
2026-05-15,dau,region,Algeria,10,0.021739130434782608
2026-05-15,dau,region,Canada,10,0.021739130434782608
2026-05-15,dau,region,France,9,0.01956521739130435
2026-05-15,dau,region,Australia,8,0.017391304347826087
2026-05-15,dau,region,Nigeria,8,0.017391304347826087
2026-05-15,dau,region,Colombia,7,0.015217391304347827
2026-05-15,dau,region,Nepal,6,0.013043478260869565
2026-05-15,dau,region,Iraq,5,0.010869565217391304
2026-05-15,dau,region,Slovenia,5,0.010869565217391304
2026-05-15,dau,region,Mexico,5,0.010869565217391304
2026-05-15,dau,region,Tunisia,4,0.008695652173913044
2026-05-15,dau,region,South Korea,4,0.008695652173913044
2026-05-15,dau,region,Myanmar,3,0.006521739130434782
2026-05-15,dau,region,Philippines,3,0.006521739130434782
2026-05-15,dau,region,Venezuela,2,0.004347826086956522
2026-05-15,dau,region,Poland,2,0.004347826086956522
2026-05-15,dau,region,Germany,2,0.004347826086956522
2026-05-15,dau,region,Ghana,2,0.004347826086956522
2026-05-15,dau,region,Ukraine,2,0.004347826086956522
2026-05-15,dau,region,Kenya,2,0.004347826086956522
2026-05-15,dau,region,Bolivia,2,0.004347826086956522
2026-05-15,dau,region,Japan,2,0.004347826086956522
2026-05-15,dau,region,The Netherlands,2,0.004347826086956522
2026-05-15,dau,region,Belarus,2,0.004347826086956522
2026-05-15,dau,region,Sri Lanka,2,0.004347826086956522
2026-05-15,dau,region,Uzbekistan,2,0.004347826086956522
2026-05-15,dau,region,Russia,2,0.004347826086956522
2026-05-15,dau,region,Denmark,1,0.002173913043478261
2026-05-15,dau,region,Kazakhstan,1,0.002173913043478261
2026-05-15,dau,region,Ethiopia,1,0.002173913043478261
2026-05-15,dau,region,China,1,0.002173913043478261
2026-05-15,dau,region,Ecuador,1,0.002173913043478261
2026-05-15,dau,region,Spain,1,0.002173913043478261
2026-05-15,dau,region,Italy,1,0.002173913043478261
2026-05-15,dau,region,Bulgaria,1,0.002173913043478261
2026-05-15,dau,region,Malaysia,1,0.002173913043478261
2026-05-15,dau,region,Kosovo,1,0.002173913043478261
2026-05-15,dau,region,Latvia,1,0.002173913043478261
2026-05-15,dau,region,Chile,1,0.002173913043478261
2026-05-15,dau,region,Egypt,1,0.002173913043478261
2026-05-15,dau,region,Togo,1,0.002173913043478261
2026-05-15,dau,region,Thailand,1,0.002173913043478261
2026-05-15,dau,region,Peru,1,0.002173913043478261
2026-05-15,dau,region,Moldova,1,0.002173913043478261
2026-05-15,dau,region,Sweden,1,0.002173913043478261
2026-05-15,dau,region,Finland,1,0.002173913043478261
2026-05-15,new,channel,Direct,265,0.7636887608069164
2026-05-15,new,channel,Google Ads,53,0.15273775216138327
2026-05-15,new,channel,SEO / Organic Search,21,0.06051873198847262
2026-05-15,new,channel,Organic Social,3,0.008645533141210375
2026-05-15,new,channel,Meta Ads,3,0.008645533141210375
2026-05-15,new,channel,Referral,2,0.005763688760806916
2026-05-15,new,interface,Web App,347,1.0
2026-05-15,new,region,Indonesia,58,0.16714697406340057
2026-05-15,new,region,India,49,0.14121037463976946
2026-05-15,new,region,Pakistan,36,0.1037463976945245
2026-05-15,new,region,United States,35,0.10086455331412104
2026-05-15,new,region,Brazil,16,0.04610951008645533
2026-05-15,new,region,Vietnam,13,0.037463976945244955
2026-05-15,new,region,Bangladesh,13,0.037463976945244955
2026-05-15,new,region,United Kingdom,11,0.03170028818443804
2026-05-15,new,region,Morocco,10,0.02881844380403458
2026-05-15,new,region,Algeria,8,0.023054755043227664
2026-05-15,new,region,Canada,8,0.023054755043227664
2026-05-15,new,region,France,7,0.020172910662824207
2026-05-15,new,region,Colombia,6,0.01729106628242075
2026-05-15,new,region,Nigeria,6,0.01729106628242075
2026-05-15,new,region,Iraq,5,0.01440922190201729
2026-05-15,new,region,Slovenia,5,0.01440922190201729
2026-05-15,new,region,Mexico,5,0.01440922190201729
2026-05-15,new,region,Nepal,5,0.01440922190201729
2026-05-15,new,region,Australia,5,0.01440922190201729
2026-05-15,new,region,Myanmar,3,0.008645533141210375
2026-05-15,new,region,Philippines,3,0.008645533141210375
2026-05-15,new,region,Poland,2,0.005763688760806916
2026-05-15,new,region,Ukraine,2,0.005763688760806916
2026-05-15,new,region,The Netherlands,2,0.005763688760806916
2026-05-15,new,region,Singapore,2,0.005763688760806916
2026-05-15,new,region,Belarus,2,0.005763688760806916
2026-05-15,new,region,Sri Lanka,2,0.005763688760806916
2026-05-15,new,region,Uzbekistan,2,0.005763688760806916
2026-05-15,new,region,Russia,2,0.005763688760806916
2026-05-15,new,region,Tunisia,2,0.005763688760806916
2026-05-15,new,region,Denmark,1,0.002881844380403458
2026-05-15,new,region,Venezuela,1,0.002881844380403458
2026-05-15,new,region,Kazakhstan,1,0.002881844380403458
2026-05-15,new,region,Germany,1,0.002881844380403458
2026-05-15,new,region,China,1,0.002881844380403458
2026-05-15,new,region,Ecuador,1,0.002881844380403458
2026-05-15,new,region,Kenya,1,0.002881844380403458
2026-05-15,new,region,Spain,1,0.002881844380403458
2026-05-15,new,region,Bolivia,1,0.002881844380403458
2026-05-15,new,region,Japan,1,0.002881844380403458
2026-05-15,new,region,Italy,1,0.002881844380403458
2026-05-15,new,region,Malaysia,1,0.002881844380403458
2026-05-15,new,region,Kosovo,1,0.002881844380403458
2026-05-15,new,region,Latvia,1,0.002881844380403458
2026-05-15,new,region,Chile,1,0.002881844380403458
2026-05-15,new,region,Egypt,1,0.002881844380403458
2026-05-15,new,region,Togo,1,0.002881844380403458
2026-05-15,new,region,Thailand,1,0.002881844380403458
2026-05-15,new,region,Peru,1,0.002881844380403458
2026-05-15,new,region,South Korea,1,0.002881844380403458
2026-05-15,new,region,Moldova,1,0.002881844380403458
2026-05-15,new,region,Finland,1,0.002881844380403458
2026-05-15,returning,channel,Direct,88,0.7787610619469026
2026-05-15,returning,channel,Google Ads,11,0.09734513274336283
2026-05-15,returning,channel,SEO / Organic Search,7,0.061946902654867256
2026-05-15,returning,channel,Referral,6,0.05309734513274336
2026-05-15,returning,channel,Meta Ads,1,0.008849557522123894
2026-05-15,returning,interface,Web App,113,1.0
2026-05-15,returning,region,India,23,0.20353982300884957
2026-05-15,returning,region,Indonesia,13,0.11504424778761062
2026-05-15,returning,region,Pakistan,11,0.09734513274336283
2026-05-15,returning,region,Singapore,10,0.08849557522123894
2026-05-15,returning,region,United States,7,0.061946902654867256
2026-05-15,returning,region,Bangladesh,6,0.05309734513274336
2026-05-15,returning,region,Morocco,6,0.05309734513274336
2026-05-15,returning,region,Brazil,5,0.04424778761061947
2026-05-15,returning,region,United Kingdom,3,0.02654867256637168
2026-05-15,returning,region,Australia,3,0.02654867256637168
2026-05-15,returning,region,South Korea,3,0.02654867256637168
2026-05-15,returning,region,Ghana,2,0.017699115044247787
2026-05-15,returning,region,Tunisia,2,0.017699115044247787
2026-05-15,returning,region,Canada,2,0.017699115044247787
2026-05-15,returning,region,Algeria,2,0.017699115044247787
2026-05-15,returning,region,France,2,0.017699115044247787
2026-05-15,returning,region,Nigeria,2,0.017699115044247787
2026-05-15,returning,region,Vietnam,1,0.008849557522123894
2026-05-15,returning,region,Venezuela,1,0.008849557522123894
2026-05-15,returning,region,Ethiopia,1,0.008849557522123894
2026-05-15,returning,region,Bulgaria,1,0.008849557522123894
2026-05-15,returning,region,Nepal,1,0.008849557522123894
2026-05-15,returning,region,Japan,1,0.008849557522123894
2026-05-15,returning,region,Kenya,1,0.008849557522123894
2026-05-15,returning,region,Germany,1,0.008849557522123894
2026-05-15,returning,region,Colombia,1,0.008849557522123894
2026-05-15,returning,region,Bolivia,1,0.008849557522123894
2026-05-15,returning,region,Sweden,1,0.008849557522123894
2026-05-16,dau,channel,Direct,395,0.7790927021696252
2026-05-16,dau,channel,Google Ads,63,0.1242603550295858
2026-05-16,dau,channel,SEO / Organic Search,29,0.05719921104536489
2026-05-16,dau,channel,Organic Social,8,0.015779092702169626
2026-05-16,dau,channel,Referral,8,0.015779092702169626
2026-05-16,dau,channel,Meta Ads,4,0.007889546351084813
2026-05-16,dau,interface,Web App,507,1.0
2026-05-16,dau,region,India,77,0.15187376725838264
2026-05-16,dau,region,Indonesia,73,0.14398422090729784
2026-05-16,dau,region,Pakistan,65,0.1282051282051282
2026-05-16,dau,region,United States,41,0.08086785009861933
2026-05-16,dau,region,Bangladesh,30,0.05917159763313609
2026-05-16,dau,region,Morocco,20,0.03944773175542406
2026-05-16,dau,region,United Kingdom,19,0.03747534516765286
2026-05-16,dau,region,Brazil,18,0.03550295857988166
2026-05-16,dau,region,Algeria,12,0.023668639053254437
2026-05-16,dau,region,Germany,12,0.023668639053254437
2026-05-16,dau,region,Vietnam,10,0.01972386587771203
2026-05-16,dau,region,Mexico,7,0.013806706114398421
2026-05-16,dau,region,France,6,0.011834319526627219
2026-05-16,dau,region,Nigeria,5,0.009861932938856016
2026-05-16,dau,region,Latvia,5,0.009861932938856016
2026-05-16,dau,region,The Netherlands,5,0.009861932938856016
2026-05-16,dau,region,Australia,5,0.009861932938856016
2026-05-16,dau,region,Egypt,5,0.009861932938856016
2026-05-16,dau,region,Canada,5,0.009861932938856016
2026-05-16,dau,region,Slovenia,4,0.007889546351084813
2026-05-16,dau,region,Iraq,4,0.007889546351084813
2026-05-16,dau,region,Türkiye,4,0.007889546351084813
2026-05-16,dau,region,Philippines,4,0.007889546351084813
2026-05-16,dau,region,Saudi Arabia,3,0.005917159763313609
2026-05-16,dau,region,Nepal,3,0.005917159763313609
2026-05-16,dau,region,Lithuania,3,0.005917159763313609
2026-05-16,dau,region,Ukraine,3,0.005917159763313609
2026-05-16,dau,region,Sweden,3,0.005917159763313609
