date,chat_sessions,chat_session_users,messages,message_users,responses,response_per_message,stream_errors,message_failed,message_failed_per_message,llm_total,llm_2xx,llm_4xx_5xx,llm_2xx_rate,llm_users,requests_with_tools_available,requests_with_tool_use,tool_use_request_rate,tool_use_count,requests_with_tool_result_context,tool_result_context_count,credits,credits_per_message_user,input_tokens,output_tokens,cache_read_tokens,cache_hit_ratio,llm_ttfb_p50_ms,llm_ttfb_p95_ms,llm_p50_ms,llm_p95_ms,first_message_ttfb_p50_ms,first_message_ttfb_p95_ms,first_message_llm_p50_ms,first_message_llm_p95_ms
2026-05-15,1631,718,3495,460,4395,1.257510729613734,141,807,0.23090128755364808,1355,1331,24,0.9822878228782288,56,960,0,0.0,0.0,712,10358.0,11140.0,24.217391304347824,25276921.0,487098.0,12140703.0,0.32446482972836543,15102.0,185214.0,7645.0,145852.69999999998,,,4005.0,28403.600000000006
2026-05-16,1922,785,4148,507,5408,1.3037608486017358,116,641,0.15453230472516877,866,846,20,0.976905311778291,67,474,0,0.0,0.0,373,4897.0,10679.0,21.06311637080868,10263930.0,224864.0,6236560.0,0.37796210900403565,112848.0,170038.59999999998,13507.0,158642.0,,,3487.0,5046.0
2026-05-17,1630,685,3551,456,4203,1.1836102506336244,280,861,0.24246691072937201,953,938,15,0.9842602308499475,60,572,0,0.0,0.0,440,5376.0,10385.0,22.774122807017545,12119039.0,274508.0,7716186.0,0.3890142914940466,102582.0,161288.0,12750.0,156104.4,,,3445.5,4511.999999999999
2026-05-18,1781,742,3325,507,3723,1.1196992481203007,126,841,0.2529323308270677,1440,1423,17,0.9881944444444445,58,610,0,0.0,0.0,464,6025.0,10365.0,20.443786982248522,12847932.0,282129.0,8414283.0,0.39573877886193887,713.0,155521.0,4929.0,146011.49999999997,,,3890.5,8771.25
2026-05-19,1964,716,3381,450,2964,0.8766637089618456,98,901,0.26648920437740314,913,894,19,0.9791894852135816,49,572,0,0.0,0.0,436,5430.0,7580.0,16.844444444444445,12385300.0,265607.0,7833251.0,0.3874289013094954,14220.0,166039.15,9050.0,153706.2,,,4057.5,6992.0
2026-05-20,2391,760,2098,256,157,0.07483317445185891,164,740,0.35271687321258344,1028,1025,3,0.9970817120622568,64,737,3,0.004070556309362279,3.0,492,5571.0,7724.0,30.171875,13734551.0,328188.0,8432166.0,0.3803976024054442,12443.5,179375.84999999998,6996.0,138319.59999999995,148.0,260.54999999999995,3747.5,13091.249999999982
2026-05-21,1656,540,1922,224,211,0.10978147762747138,124,567,0.29500520291363164,1256,1234,22,0.982484076433121,137,758,152,0.20052770448548812,168.0,380,14266.0,5056.0,22.571428571428573,11901714.0,294829.0,11362694.0,0.4884153510375162,671.0,128814.09999999999,827.0,116750.25,147.0,365.8500000000001,164.0,4425.799999999999
2026-05-22,1649,542,2105,273,168,0.07980997624703087,132,675,0.32066508313539194,6480,6473,7,0.9989197530864198,147,6079,4332,0.7126172067774305,5001.0,4676,516002.0,19649.0,71.97435897435898,17014210.0,1556193.0,294843576.0,0.9454424075209718,569.0,4034.45,679.0,8450.199999999997,176.0,512.3,2734.0,5179.8
2026-05-23,2206,648,3100,365,9,0.002903225806451613,175,452,0.14580645161290323,676,668,8,0.9881656804733728,17,314,0,0.0,0.0,269,4192.0,3765.0,10.315068493150685,7775480.0,159406.0,4893184.0,0.386243095562405,682.0,115689.15,3913.5,104711.75,51.0,51.0,3800.0,5001.5
2026-05-24,1676,506,2219,260,18,0.00811176205497972,91,198,0.08922938260477693,537,534,3,0.994413407821229,26,359,0,0.0,0.0,323,6097.0,5062.0,19.46923076923077,10621085.0,193724.0,5980880.0,0.36025133169477225,12791.5,163997.65,7600.0,139202.79999999996,,,3985.0,4784.5
2026-05-25,1714,491,1870,237,279,0.14919786096256685,143,338,0.18074866310160428,4270,4257,13,0.9969555035128805,106,3079,1699,0.5518025332900293,2216.0,2055,69687.0,17121.0,72.24050632911393,12308686.0,1035453.0,100156891.0,0.8905559698502236,1507.0,4843.2,1739.5,12035.699999999986,198.0,3002.3999999999987,225.0,3943.499999999999
