day,event,events,users
2026-05-15,connector:telegram_connected,163,61
2026-05-15,connector:google_connected,57,22
2026-05-15,connector:google_workspace_folder_created,12,11
2026-05-15,connector:google_workspace_picker_unavailable,10,10
2026-05-15,connector:google_workspace_folder_set,9,8
2026-05-15,connector:telegram_disconnected,7,7
2026-05-15,connector:slack_connected,5,4
2026-05-15,connector:google_disconnected,4,3
2026-05-15,connector:discord_connected,4,2
2026-05-15,connector:remote_disconnected,2,2
2026-05-15,connector:lark_connected,2,1
2026-05-16,connector:telegram_connected,94,44
2026-05-16,connector:google_connected,91,25
2026-05-16,connector:google_workspace_folder_created,10,8
2026-05-16,connector:google_workspace_picker_unavailable,9,8
2026-05-16,connector:slack_connected,6,5
2026-05-16,connector:google_workspace_folder_set,4,4
2026-05-16,connector:google_disconnected,3,2
2026-05-16,connector:discord_connected,2,2
2026-05-17,connector:telegram_connected,133,48
2026-05-17,connector:google_connected,45,19
2026-05-17,connector:slack_connected,8,3
2026-05-17,connector:google_workspace_folder_created,6,6
2026-05-17,connector:google_workspace_picker_unavailable,5,5
2026-05-17,connector:discord_connected,3,1
2026-05-17,connector:telegram_disconnected,3,3
2026-05-17,connector:google_workspace_folder_set,3,3
2026-05-17,connector:google_disconnected,1,1
2026-05-17,connector:lark_connected,1,1
2026-05-18,connector:telegram_connected,151,54
2026-05-18,connector:google_connected,61,25
2026-05-18,connector:slack_connected,26,9
2026-05-18,connector:discord_connected,16,2
2026-05-18,connector:lark_connected,9,3
2026-05-18,connector:telegram_disconnected,7,5
2026-05-18,connector:google_workspace_folder_created,3,3
2026-05-18,connector:google_workspace_picker_unavailable,3,3
2026-05-18,connector:remote_disconnected,1,1
2026-05-18,connector:google_workspace_folder_set,1,1
2026-05-18,connector:google_disconnected,1,1
2026-05-19,connector:google_connected,71,25
2026-05-19,connector:telegram_connected,61,30
2026-05-19,connector:slack_connected,20,5
2026-05-19,connector:discord_connected,10,3
2026-05-19,connector:google_workspace_folder_created,6,6
2026-05-19,connector:lark_connected,4,1
2026-05-19,connector:google_workspace_picker_unavailable,4,4
2026-05-19,connector:telegram_disconnected,2,2
2026-05-19,connector:google_workspace_folder_set,2,2
2026-05-19,connector:google_disconnected,1,1
2026-05-19,connector:lark_disconnected,1,1
2026-05-20,connector:telegram_connected,154,42
2026-05-20,connector:google_connected,63,12
2026-05-20,connector:slack_connected,37,4
2026-05-20,connector:discord_connected,15,1
2026-05-20,connector:google_workspace_folder_set,3,3
2026-05-20,connector:google_workspace_picker_unavailable,2,2
2026-05-20,connector:google_workspace_folder_created,2,2
2026-05-20,connector:remote_callback_completed,2,1
2026-05-20,connector:telegram_disconnected,2,2
2026-05-20,connector:google_disconnected,1,1
2026-05-20,connector:remote_disconnected,1,1
2026-05-21,connector:telegram_connected,117,42
2026-05-21,connector:google_connected,50,12
2026-05-21,connector:slack_connected,21,5
2026-05-21,connector:remote_callback_completed,4,2
2026-05-21,connector:google_workspace_folder_set,4,3
2026-05-21,connector:discord_connected,3,2
2026-05-21,connector:lark_connected,3,1
2026-05-21,connector:google_disconnected,2,1
2026-05-21,connector:remote_account_disconnected,2,2
2026-05-21,connector:remote_disconnected,2,2
2026-05-21,connector:telegram_disconnected,2,2
2026-05-21,connector:google_workspace_folder_created,1,1
2026-05-21,connector:google_workspace_picker_unavailable,1,1
2026-05-22,connector:telegram_connected,132,46
2026-05-22,connector:google_connected,34,14
2026-05-22,connector:slack_connected,6,2
2026-05-22,connector:discord_connected,2,1
2026-05-22,connector:telegram_disconnected,2,2
2026-05-22,connector:google_workspace_picker_unavailable,1,1
2026-05-22,connector:google_disconnected,1,1
2026-05-22,connector:google_workspace_folder_created,1,1
2026-05-22,connector:google_workspace_folder_set,1,1
