event,error_kind,events,users
error:ws_error,stream_error,43786,710
error:message_failed,assistant_response_failed,3277,641
error:message_failed,assistant_failed,2220,431
error:env_init_failed,unknown,2070,1098
error:message_failed,user_message_failed,420,107
chat.stream.errored,unknown,338,16
file:upload_failed,network,161,63
error:message_failed,failed_to_send_message_please_try_again,43,11
file:upload_failed,apierror:_type_:_greater_than_loc_:_body_size_msg_:_i,39,23
file:upload_failed,apierror:_email_or_phone_already_in_use_by_another_account,35,6
payment:checkout_start_failed,network,34,19
file:upload_failed,error:_no_agent_available,32,26
error:message_failed,timeout,29,20
file:upload_failed,apierror:_failed_to_confirm_upload_with_external_service,22,8
file:upload_failed,apierror:_sandbox_is_being_restored_retry_shortly,15,1
payment:checkout_start_failed,409,12,8
payment:checkout_verify_failed,network,7,7
file:upload_failed,typeerror:_xmlhttprequest_is_not_a_constructor,5,1
file:upload_failed,typeerror:_load_failed_api_moclaw_ai,4,3
payment:checkout_start_failed,server_error,4,1
payment:checkout_verify_failed,409,3,2
file:upload_failed,apierror:_file_is_not_pending_status_ready,2,2
payment:checkout_fulfillment_failed,unknown,2,1
payment:checkout_verify_failed,forbidden,1,1
payment:checkout_verify_failed,load_failed_api_moclaw_ai,1,1
