date,api_calls,api_success,api_fail,api_success_rate,api_p50_ms,api_p95_ms,api_p99_ms,ws_error,ws_error_users,message_failed,env_init_failed,sandbox_restart_failed,chat_stream_errored,file_upload_failed,checkout_start_failed,checkout_verify_failed,checkout_fulfillment_failed,exceptions,page_loads,page_load_p50_ms,page_load_p95_ms,env_init_count,env_init_p50_ms,env_init_p95_ms,env_init_first_daily_p50_ms,env_init_first_daily_p95_ms
2026-05-15,470801,430915,39886,0.9152805537796224,219.0,1021.0,5180.540000000001,2249,115,807,89,0,141,19,3,0,1,0,1866,3428.5,15170.5,1676,1841.5,24576.75,10735.0,39124.200000000004
2026-05-16,650815,591087,59728,0.9082258399084225,135.5,787.4499999999998,2669.410000000007,289,100,641,80,0,116,27,0,0,0,0,2130,3665.0,20313.899999999998,1972,1891.5,23786.649999999914,11058.0,36207.59999999999
2026-05-17,636517,571137,65380,0.8972847543741959,108.0,730.4499999999998,3849.7700000000077,1486,132,861,81,0,280,41,0,0,0,0,1800,3439.5,15504.199999999993,1673,1861.0,30589.79999999998,10994.0,39232.399999999994
2026-05-18,588219,506528,81691,0.8611214530642499,210.5,897.4499999999998,3027.4800000000105,3080,131,841,106,0,126,42,5,0,0,0,2117,2944.0,15496.79999999993,1870,1643.5,31288.09999999999,11033.5,36252.49999999999
2026-05-19,575556,513328,62228,0.8918819367707052,223.0,1187.4499999999998,11765.340000000018,19567,155,901,148,0,98,25,2,0,0,0,2307,3073.0,15181.29999999998,2134,1458.5,24570.299999999996,6967.0,34960.399999999994
2026-05-20,434289,407613,26676,0.9385754647251024,207.0,1235.1499999999987,10198.78000000002,10532,103,740,645,0,164,95,18,6,1,0,3279,2277.0,11181.999999999995,2941,1122.0,17505.0,7142.0,23839.84999999999
2026-05-21,387563,345244,42319,0.8908074300178294,126.0,1024.8999999999996,5392.690000000006,2824,66,567,435,0,124,44,7,3,0,0,2161,2467.0,15170.0,2035,1153.0,21482.999999999996,9686.0,27403.59999999998
2026-05-22,354421,331047,23374,0.9340501832566355,222.0,1394.8999999999996,17857.190000000028,3282,77,675,346,0,132,18,11,2,0,0,1968,2777.0,13988.549999999977,1983,1171.0,20425.399999999998,9317.0,31517.599999999988
2026-05-23,444429,424854,19575,0.9559547194265001,190.0,1806.3999999999942,120816.72,1932,80,452,352,0,175,17,22,3,0,0,2413,3764.0,21856.60000000001,2595,1408.0,19861.39999999998,10322.0,27518.300000000003
2026-05-24,374346,363305,11041,0.9705058956152864,206.0,1060.8999999999996,5838.9000000000015,429,87,198,291,0,91,40,27,7,0,0,1922,3342.5,16573.95,1992,1441.5,17957.599999999995,6856.5,25478.0
2026-05-25,404908,390295,14613,0.9639103203690715,210.0,1138.3499999999995,5216.060000000005,633,85,338,243,0,143,15,6,5,0,0,1981,3126.0,15697.0,2071,1213.0,17931.0,4073.5,25380.10000000006
