date,upload_started,upload_started_users,upload_completed,upload_completed_users,upload_failed,upload_failed_users,upload_cancelled,upload_success_rate,upload_failed_rate,attach_processed,file_viewed,file_paste,uploaded_size_p50_bytes,uploaded_size_p95_bytes
2026-05-15,854,221,824,216,19,11,10,0.9648711943793911,0.02224824355971897,416,565,225,112840.5,3250851.8499999926
2026-05-16,1137,260,1092,257,27,18,14,0.9604221635883905,0.023746701846965697,596,522,430,80735.0,2088377.0
2026-05-17,1175,252,1113,243,41,24,17,0.9472340425531914,0.03489361702127659,497,585,443,96051.0,5548119.199999995
2026-05-18,1137,256,1068,252,42,21,23,0.9393139841688655,0.036939313984168866,650,465,308,89842.0,4436482.0
2026-05-19,967,212,936,212,25,7,4,0.96794208893485,0.025853154084798345,512,534,282,99916.5,3399046.5
2026-05-20,680,117,501,111,95,22,5,0.736764705882353,0.13970588235294118,220,236,208,92819.0,7358448.0
2026-05-21,464,104,405,100,44,15,13,0.8728448275862069,0.09482758620689655,148,131,193,48468.0,3473469.1999999937
2026-05-22,433,97,412,97,18,6,4,0.9515011547344111,0.04157043879907621,190,200,185,64444.5,2677512.2999999924
2026-05-23,635,137,612,135,17,10,7,0.9637795275590552,0.026771653543307086,181,363,150,29494.0,2086738.2499999986
2026-05-24,607,110,557,105,40,13,7,0.9176276771004942,0.06589785831960461,251,227,93,92605.0,6998636.0
2026-05-25,528,127,508,126,15,6,4,0.9621212121212122,0.028409090909090908,244,137,164,137405.5,5171311.0
