date,checkout_flows_first_seen,has_started,has_session_created,has_returned,has_verified,has_fulfilled,session_created_to_verified_flow_rate,session_created_to_fulfilled_flow_rate,has_start_failed,has_verify_failed,has_fulfillment_failed,subscription_flows,credit_pack_flows,unknown_order_type_flows,amount_usd_event
2026-05-15,62,47,55,0,27,27,0.4909090909090909,0.4909090909090909,3,0,0,49,13,21,20.0
2026-05-16,78,55,78,0,35,37,0.44871794871794873,0.47435897435897434,0,0,0,67,11,27,10.0
2026-05-17,62,44,62,0,32,33,0.5161290322580645,0.532258064516129,0,0,0,54,8,22,20.0
2026-05-18,62,48,56,0,23,27,0.4107142857142857,0.48214285714285715,5,0,0,53,9,17,640.0
2026-05-19,162,117,161,0,28,32,0.17391304347826086,0.19875776397515527,2,0,0,155,7,19,400.0
2026-05-20,670,549,653,0,174,180,0.2664624808575804,0.27565084226646247,18,0,0,664,6,148,100.0
2026-05-21,446,346,442,0,157,161,0.3552036199095023,0.36425339366515835,7,0,0,435,11,131,30.0
2026-05-22,469,372,459,0,260,263,0.5664488017429193,0.5729847494553377,11,0,0,462,7,200,60.0
2026-05-23,780,601,758,0,426,445,0.5620052770448549,0.5870712401055409,22,0,0,754,26,318,10.0
2026-05-24,705,520,680,0,262,316,0.38529411764705884,0.4647058823529412,27,0,0,636,69,189,0.0
2026-05-25,496,361,490,0,259,280,0.5285714285714286,0.5714285714285714,6,0,0,455,41,190,50.0
