date,pricing_opened,pricing_opened_users,checkout_started,checkout_started_users,checkout_session_created,checkout_session_created_users,checkout_returned,checkout_returned_users,checkout_verified,checkout_verified_users,checkout_fulfilled,checkout_fulfilled_users,fulfilled_subscription,fulfilled_credit_pack,fulfilled_amount_usd_event,pricing_to_started_same_day_user_ratio,started_to_session_created_same_day_user_ratio,session_created_to_verified_same_day_user_ratio,verified_to_fulfilled_same_day_user_ratio,checkout_start_failed,checkout_verify_failed,checkout_fulfillment_failed
2026-05-15,0,0,47,36,57,48,26,25,48,27,28,27,25,3,220.0,0.0,1.3333333333333333,0.5625,1.0,3,0,1
2026-05-16,0,0,55,48,80,67,42,35,72,35,38,38,36,2,210.0,0.0,1.3958333333333333,0.5223880597014925,1.0857142857142856,0,0,0
2026-05-17,0,0,44,40,124,57,34,25,81,34,68,34,33,35,5835.0,0.0,1.425,0.5964912280701754,1.0,0,0,0
2026-05-18,0,0,48,34,56,39,22,18,40,19,27,22,22,5,640.0,0.0,1.1470588235294117,0.48717948717948717,1.1578947368421053,5,0,0
2026-05-19,0,0,117,86,162,120,52,42,53,28,32,32,30,2,400.0,0.0,1.3953488372093024,0.23333333333333334,1.1428571428571428,2,0,0
2026-05-20,0,0,549,362,653,447,253,168,333,122,180,124,179,1,100.0,0.0,1.2348066298342542,0.27293064876957496,1.0163934426229508,18,6,1
2026-05-21,0,0,346,231,442,291,195,135,292,121,161,125,160,1,30.0,0.0,1.2597402597402598,0.41580756013745707,1.0330578512396693,7,3,0
2026-05-22,0,0,372,246,462,324,261,174,475,196,262,198,260,2,60.0,0.0,1.3170731707317074,0.6049382716049383,1.010204081632653,11,2,0
2026-05-23,0,0,601,407,759,550,400,298,761,365,445,380,444,1,10.0,0.0,1.3513513513513513,0.6636363636363637,1.0410958904109588,22,3,0
2026-05-24,0,0,520,325,680,453,263,212,493,257,317,301,317,0,0.0,0.0,1.393846153846154,0.5673289183222958,1.171206225680934,27,7,0
2026-05-25,0,0,361,222,490,318,243,156,467,200,279,214,277,2,50.0,0.0,1.4324324324324325,0.6289308176100629,1.07,6,5,0
