date,new_dau_cohort,first_task_start_users,first_task_done_users,d0_messages,d0_d2_messages,d0_commands,next_return_users,next_chat_users,d7_chat_users,next_task_start_users,next_task_done_users
2026-05-15,510,33,33,2806,3749,62,116,110,14,13,13
2026-05-16,350,30,28,2920,3486,53,90,85,11,9,7
2026-05-17,327,20,19,2609,2961,43,66,61,6,4,4
2026-05-18,346,24,20,2304,3027,45,86,82,,11,9
2026-05-19,283,31,17,2015,2284,60,59,56,,3,0
2026-05-20,114,11,0,1070,1413,27,33,31,,8,0
2026-05-21,106,12,1,1066,1221,20,29,26,,0,0
2026-05-22,165,13,3,1305,1586,31,47,46,,6,0
2026-05-23,270,19,0,2509,,80,50,50,,5,0
2026-05-24,170,27,0,1607,,55,,,,,
2026-05-25,138,10,1,1109,,21,,,,,
