date,channel,new_uv,registered_d0_users,freetrial_d0_users,freetrial_message_d0_users,first_message_d0_users
2026-05-15,Direct,746,206,7,5,170
2026-05-15,SEO / Organic Search,180,68,2,2,63
2026-05-15,Organic Social,23,8,1,0,3
2026-05-15,Referral,27,7,5,5,7
2026-05-15,Google Ads,302,75,2,2,60
2026-05-15,Meta Ads,8,2,0,0,1
2026-05-16,Direct,420,251,17,14,183
2026-05-16,SEO / Organic Search,93,65,3,3,55
2026-05-16,Organic Social,20,9,0,0,5
2026-05-16,Referral,17,11,1,1,10
2026-05-16,Google Ads,178,89,0,0,66
2026-05-16,Meta Ads,9,2,0,0,2
2026-05-17,Direct,367,214,11,11,173
2026-05-17,SEO / Organic Search,92,59,0,0,50
2026-05-17,Organic Social,14,8,0,0,7
2026-05-17,Referral,9,6,5,5,5
2026-05-17,Google Ads,164,83,1,0,65
2026-05-17,Meta Ads,0,0,0,0,0
2026-05-18,Direct,326,210,4,4,169
2026-05-18,SEO / Organic Search,94,69,1,0,57
2026-05-18,Organic Social,15,5,0,0,3
2026-05-18,Referral,12,6,3,2,5
2026-05-18,Google Ads,147,80,0,0,65
2026-05-18,Meta Ads,0,0,0,0,0
2026-05-19,Direct,396,217,13,12,158
2026-05-19,SEO / Organic Search,93,57,2,2,36
2026-05-19,Organic Social,21,5,0,0,1
2026-05-19,Referral,9,3,0,0,2
2026-05-19,Google Ads,139,70,0,0,46
2026-05-19,Meta Ads,2,1,0,0,1
2026-05-20,Direct,424,151,50,46,65
2026-05-20,SEO / Organic Search,339,179,6,4,15
2026-05-20,Organic Social,24,1,0,0,0
2026-05-20,Referral,23,12,10,10,13
2026-05-20,Google Ads,244,122,4,3,9
2026-05-20,Meta Ads,2,0,0,0,0
2026-05-21,Direct,344,130,52,43,61
2026-05-21,SEO / Organic Search,74,44,6,6,9
2026-05-21,Organic Social,16,2,0,0,0
2026-05-21,Referral,29,20,14,11,14
2026-05-21,Google Ads,117,44,4,4,6
2026-05-21,Meta Ads,0,0,0,0,0
2026-05-22,Direct,316,167,113,103,121
2026-05-22,SEO / Organic Search,94,37,4,4,7
2026-05-22,Organic Social,7,4,0,0,0
2026-05-22,Referral,8,5,4,3,4
2026-05-22,Google Ads,101,28,1,1,4
2026-05-22,Meta Ads,0,0,0,0,0
2026-05-23,Direct,467,275,192,178,204
2026-05-23,SEO / Organic Search,91,35,7,4,5
2026-05-23,Organic Social,9,0,0,0,0
2026-05-23,Referral,52,11,9,8,39
2026-05-23,Google Ads,105,39,2,2,5
2026-05-23,Meta Ads,0,0,0,0,0
2026-05-24,Direct,374,193,126,87,114
2026-05-24,SEO / Organic Search,97,42,14,9,12
2026-05-24,Organic Social,8,1,0,0,0
2026-05-24,Referral,52,8,7,6,27
2026-05-24,Google Ads,124,37,2,1,6
2026-05-24,Meta Ads,0,0,0,0,0
2026-05-25,Direct,247,103,71,56,85
2026-05-25,SEO / Organic Search,83,33,5,4,8
2026-05-25,Organic Social,5,3,1,0,0
2026-05-25,Referral,35,4,3,2,23
2026-05-25,Google Ads,124,36,0,0,5
2026-05-25,Meta Ads,0,0,0,0,0
