订单号,订单日期,物料名称,规格型号,订单数量,已交数量,未交数量,未交金额
AA260228001,20260228,"鳗鱼MINI单层下管型材","B01225",440,0,440,27148.00
AA260228001,20260228,"犀牛铝壳型材","B01779",1010,0,1010,18917.30
AA260228001,20260228,"新开黄蜂双层下管型材","H2509  明胜",100,0,100,7413.00
AA260228007,20260228,"MICRO电池桶型材","H2111",3010,0,3010,49905.80
AA260228007,20260228,"时光下管型材","H2157",510,0,510,44354.70
AA260228007,20260228,"蜗牛上出线型材","H2601",150,0,150,4288.50
AA260227002,20260227,"明胜模组端板-来料件","",10000,8680,1320,0.00
AA260227005,20260227,"麋鹿铝壳型材","H2230",2010,0,2010,35958.90
AA260227005,20260227,"犀牛铝壳型材","B01779",2000,0,2000,30480.00
AA260227007,20260227,"利狼下管型材","H2353",550,0,550,49890.50
AA260224001,20260224,"鞍座管120H外管型材","B01185",3000,0,3000,11280.00
AA260224009,20260224,"reany男车下管型材","H2241",291,0,291,16199.97
AA260209010,20260209,"鳗鱼MINI二代（蜜蜂）加高加厚下管型材","H2234",720,445,275,23075.25
AA260209010,20260209,"游隼双层下管减重版型材(改模后）","H2515",330,0,330,22951.50
AA260207004,20260207,"游隼双层下管减重版型材(改模后）","H2515",170,0,170,11718.10
AA260207005,20260207,"猛犸狮鹫焊接补强片型材","H2341 扁铝22.23*6.35",90,0,90,2670.30
AA260206003,20260206,"YZ(COSMOS)电池管型材","H2513",510,0,510,4273.80
AA260204003,20260204,"Folding焊接底板型材","H2526",60,0,60,2916.00
AA260202007,20260202,"鳗鱼MINI单层下管型材","B01225",655,635,20,1008.20
AA260130005,20260130,"云豹下管型材","H2002",370,0,370,25822.30
AA260130005,20260130,"云豹下管型材","H2002",5,0,5,383.30
AA260130007,20260130,"鳗鱼PRO加厚双层下管型材","H2106",100,71,29,2601.88
AA260129003,20260129,"YC定制麋鹿双层型材下管型材模","",1,0,1,7500.00
